rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,50200,FALL,700,0.0137524558,,False
2,0,A005930,KR7005930003,삼성전자,70100,FALL,1500,0.0209497207,,False
3,5,A001570,KR7001570001,금양,80500,RISE,6900,0.09375,,False
4,-1,A086520,KR7086520004,에코프로,955000,RISE,14000,0.0148777896,,False
5,5,A010145,KR7010141000,삼성중공우,87100,RISE,61000,2.337164751,,False
6,0,A001470,KR7001470004,삼부토건,3695,RISE,165,0.0467422096,,True
7,-3,A305720,KR7305720005,KODEX 2차전지산업,28910,RISE,70,0.0024271845,,False
8,0,A034020,KR7034020008,두산에너빌리티,17310,FALL,90,0.0051724138,,True
9,-4,A091160,KR7091160002,KODEX 반도체,31205,FALL,405,0.0128124011,,False
10,0,A232830,KR7232830000,시큐센,6190,RISE,880,0.1657250471,,True
